grammar_id,grammar_name,total_count,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,first_seen,tags,variants
G0218,とともに：和……一起/随着,4,0,2,1,0,0,0,0,0,1,0,E02-0003-1,复合助词/接续,Nとともに;Vるとともに
G0219,にわかには＋否定：一时难以/不能马上,1,0,1,0,0,0,0,0,0,0,0,E02-0012-1,副词句型/否定,にわかには信じられない;にわかには判断できない
G0220,命令形：直接命令,20,0,2,0,6,0,2,0,9,1,0,E02-0020-1,活用/命令,戻れ;行け;見ろ;しろ;来い
G0221,なさい：轻命令/指示,9,0,7,0,0,1,0,0,1,0,0,E02-0023-1,命令/指示,Vます形＋なさい;戻りなさい;食べなさい;立ち会いな;来な
G0222,Vます形词干＋始める：开始……,6,0,1,2,0,1,2,0,0,0,0,E02-0018-1,复合动词/开始,動き始める;降り始める;話し始める
G0223,をきっかけに：以……为契机,3,0,1,1,0,0,0,0,1,0,0,E02-0047-1,契机/原因,Nをきっかけに;Nがきっかけで
G0224,まだ：仍然/还没,35,0,5,4,5,3,2,1,7,7,1,E02-0004-1,副词/时间,まだVている;まだVない;まだNだ
G0225,と同じ：和……一样,22,0,6,1,5,0,1,1,7,1,0,E02-0054-1,比较/同一,Nと同じ;同じN;同じように
G0226,N/句＋系：……类/……型,12,0,6,0,3,0,0,0,0,3,0,E02-0062-1,接尾/口语分类,インタビューする系;かわいい系;文化系
G0227,ぞ：强提醒/断言终助词,1,0,1,0,0,0,0,0,0,0,0,E02-0021-1,终助词/强调,ぞ
G0228,て形：轻命令/请求,80,0,15,6,9,0,18,7,8,14,3,E02-0024-1,口语请求/命令,待って;取って;貸して;戻って
G0229,にしても：即便如此/就算……也,5,0,1,2,1,0,0,0,1,0,0,E02-0240-1,让步/评价,Nにしても;それにしても;Vるにしても
G0230,ばかり・ばっかり：刚刚/净是/老是,5,0,1,0,1,0,2,0,0,1,0,E02-0253-1,副助词/时间,Vたばかり;Vたばっかり;Nばかり;Vてばかり;Vてばっかり
G0231,少なくとも：至少,2,0,1,0,0,0,1,0,0,0,0,E02-0288-1,副词/范围,少なくとも
G0232,からしたら：从……来看,4,0,1,0,0,0,0,0,3,0,0,E02-0362-1,立场/评价,Nからしたら;Nからすると;Nからすれば
G0233,Vます形词干＋きる・きれない：做完/不能完全……,3,0,1,1,0,0,0,1,0,0,0,E02-0378-1,复合动词/完成/可能否定,逃げきる;食べきれない;言いきれない;悔やみきれない
G0234,万が一：万一,4,0,1,0,1,0,0,0,1,1,0,E02-0376-1,副词/假设,万が一;万一
G0235,にとって：对……而言,3,0,1,1,0,1,0,0,0,0,0,E02-0347-1,立场/评价,Nにとって;Nにとっては
G0236,うちに：趁/在……期间/不知不觉间,2,0,1,0,0,1,0,0,0,0,0,E02-0417-1,时间/机会,今のうちに;若いうちに;知らないうちに
G0237,Vてから：做完……之后,8,0,2,1,0,0,2,1,2,0,0,E02-0482-1,时间顺序,Vてから;Nの後で
G0238,せいか：或许因为/不知是不是因为,1,0,1,0,0,0,0,0,0,0,0,E02-0525-1,原因/推量,Nのせいか;V普通形せいか;イ形せいか;ナ形なせいか
G0239,に決まっている：一定/肯定,5,1,1,0,0,0,0,0,2,1,0,E01-0558-1,推量/断定,N/ナ形に決まっている;普通形に決まっている;に決まってる;に決まってん
G0240,Vたところで：即使……也没用/也不过,5,0,1,0,1,1,0,0,0,2,0,E02-0547-1,让步/逆接,Vたところで;いくらVても
G0241,そうだ：传闻/据说,2,0,1,0,0,0,0,1,0,0,0,E02-0604-1,传闻/助动词,普通形＋そうだ;そうです;によると〜そうだ
G0242,N/普通形＋中：在……中/在……情况下,11,0,1,2,0,3,1,0,2,2,0,E02-0611-1,时间/状况,寒い中;雨の中;お忙しい中;会議中
G0243,ながら・ながらも：一边……一边/虽然,13,0,2,1,1,1,2,1,3,2,0,E02-0692-1,同时动作/逆接,Vます形＋ながら;見ながら;歩きながら;言いながらも;残念ながら
G0244,ばいいのに：要是……就好了,1,0,1,0,0,0,0,0,0,0,0,E02-0787-1,愿望/遗憾,Vばいいのに;あればいいのに;だったらいいのに
G0245,Vるな：禁止命令,7,0,1,0,2,0,0,0,3,1,0,E02-0691-1,命令/禁止,渡すな;行くな;見るな;するな
G0246,なかなか＋否定：不容易/怎么也不,11,0,3,0,0,2,2,0,2,2,0,E02-0179-1,副词句型/否定,なかなかVない;なかなか収まらない;なかなか休めない
G0247,っぽい：像……/带有……倾向,17,0,3,0,2,1,5,2,3,1,0,E02-0757-1,接尾/口语,Nっぽい;イ形容词語幹っぽい;家族っぽい;先生っぽい;っぽさ;っぽくなさ;っぽすぎる
G0248,てはいけない/ちゃいけない/ちゃダメ：不可以……,8,0,1,2,0,1,1,0,3,0,0,E02-0811-1,禁止/口语,Vてはいけない;Vちゃいけない;Vてはダメ;Vちゃダメ
G0249,げ：看起来/带有……样子,1,0,1,0,0,0,0,0,0,0,0,E02-0891-1,接尾/样态,意味ありげ;不安げ;自信ありげ;寂しげ
G0250,おかげで：多亏/由于,4,0,1,0,0,0,2,0,0,1,0,E02-0986-1,原因/正面评价,Nのおかげで;普通形おかげで;おかげさまで
G0251,Nを巡る：围绕……,2,0,2,0,0,0,0,0,0,0,0,E02-1007-1,复合助词/话题,Nを巡る;Nを巡って;Nを巡る問題
G0252,前・以前に：在……之前/先不说……,7,0,1,0,0,0,0,0,0,6,0,E02-1035-1,时间/前提,N前;Vる前に;N以前に;Vる以前に;それ以前に
G0253,あくまで：始终/只限于,2,0,1,0,0,1,0,0,0,0,0,E02-1053-1,副词/限定,あくまで;あくまでも;飽くまで
G0254,Vます形词干＋ようがない：无法/无从……,5,1,0,2,0,1,0,1,0,0,0,E01-0841-1,可能否定/句型,言いようがない;ねらいようがない;しようがない
G0255,つつ：一边……一边/虽然,3,0,0,1,1,0,0,1,0,0,0,E03-0111-1,接续,Vます形＋つつ;と言いつつ;知りつつ
G0256,もいとわない：不惜/不顾,1,0,0,1,0,0,0,0,0,0,0,E03-0106-1,句型/否定,Nもいとわない;危険もいとわない
G0257,ばよかった：要是……就好了/后悔,5,0,0,2,0,0,0,1,0,0,2,E03-0329-1,后悔/条件,Vばよかった;Vたらよかった;Vておけばよかった
G0258,まま：保持原样/在……状态下,21,3,1,2,1,2,2,0,4,4,2,E01-0260-1,状态/接续,Nのまま;Vたまま;Vないまま;そのまま;このまま;そのまんま
G0259,なんとなく：不知为何/总觉得,2,0,0,1,0,0,1,0,0,0,0,E03-0401-1,副词/模糊,なんとなく;何となく
G0260,時点で：在……时点/一……就已经,6,0,0,2,1,3,0,0,0,0,0,E03-0408-1,时间/阶段,Nの時点で;Vた時点で;この時点で
G0261,差し支えなければ：如果方便/不介意的话,2,0,0,1,0,0,0,0,1,0,0,E03-0436-1,敬语/条件,差し支えなければ;差し支えなかったら;よろしければ
G0262,数量詞＋とも：全部/都,4,0,0,1,2,0,0,0,0,1,0,E03-0607-1,数量/副助词,2人とも;4人とも;全員とも
G0263,わざわざ：特意/专门,7,1,0,2,2,2,0,0,0,0,0,E01-0587-1,副词/语气,わざわざV;わざわざありがとうございます
G0264,手前：碍于/当着……的面,1,0,0,1,0,0,0,0,0,0,0,E03-0718-1,立场/理由,Nの手前;Nがいる手前;世間体の手前
G0265,Nとして：作为/以……身份,8,0,0,2,2,2,0,1,1,0,0,E03-0748-1,立场/资格,Nとして;立場として;者として
G0266,Vさせてもらう：请允许我做/让我做,10,1,0,1,1,2,0,1,1,1,2,E01-0941-1,使役/授受,させてもらう;させていただく;つかせてもらう;させてください
G0267,N同士：同类彼此/……之间,2,1,0,1,0,0,0,0,0,0,0,E01-0568-1,接尾/相互,幼なじみ同士;本人同士;男同士
G0268,終助詞わ・わね：感叹/柔和断定,16,0,1,3,2,0,3,1,1,5,0,E02-0792-1,终助词/口语,わ;わね;だわ
G0269,お言葉に甘えて：承蒙好意/恭敬不如从命,2,0,0,1,1,0,0,0,0,0,0,E03-0818-1,惯用句/敬语,お言葉に甘えて
G0270,いちいち：每次都/逐一/动不动就,1,0,0,1,0,0,0,0,0,0,0,E03-0832-1,副词/评价,いちいちV;いちいち〜する
G0271,VたらVたで：即使那样也会有相应问题,1,0,0,1,0,0,0,0,0,0,0,E03-0840-1,条件/口语,VたらVたで;なかったらなかったで
G0272,あらゆる：所有/一切,1,0,0,0,1,0,0,0,0,0,0,E04-0023-1,连体词/范围,あらゆるN;あらゆる床;あらゆる可能性
G0273,はずだ：按理应该/理应,12,0,0,0,2,0,2,1,6,1,0,E04-0039-1,推量/判断,はず;はずだ;はずです;Vたはず
G0274,Vる/たことにする：决定/当作……,4,0,0,0,1,0,0,2,0,1,0,E04-0065-1,决定/意志,Vることにする;Vないことにする;Vたことにする;聞かなかったことにする
G0275,ほど：大约/到……程度,9,0,0,0,4,1,1,0,2,1,0,E04-0053-1,程度/概数,数量ほど;Vるほど;ほどのN
G0276,せめて：至少/哪怕,4,0,0,0,2,0,1,0,1,0,0,E04-0109-1,副词/最低限,せめてNだけ;せめてVたい;せめて一度
G0277,わけにはいかない：不能/不可以那样做,2,0,0,0,1,1,0,0,0,0,0,E04-0176-1,义务/不可,Vるわけにはいかない;Vないわけにはいかない
G0278,に対して：对于/针对,1,0,0,0,1,0,0,0,0,0,0,E04-0194-1,对象/关系,Nに対して;Nに対するN;Nに対しては
G0279,どのみち：反正/无论如何,1,0,0,0,1,0,0,0,0,0,0,E04-0203-1,副词/让步,どのみち;どっちみち;いずれにしても
G0280,N中（じゅう）：整个……/全……,3,0,0,0,1,0,1,0,0,1,0,E04-0231-1,接尾/范围,町じゅう;世界中;一日中;家中
G0281,Vます形词干＋倒す：彻底/尽情做……,1,0,0,0,1,0,0,0,0,0,0,E04-0272-1,复合动词/程度,泊まり倒す;遊び倒す;食べ倒す
G0282,せっかく：难得/特意/好不容易,4,0,0,0,2,0,2,0,0,0,0,E04-0326-1,副词/机会,せっかく;せっかくだから;せっかく〜のに
G0283,というのも：这是因为/理由是,3,0,0,0,1,2,0,0,0,0,0,E04-0378-1,接续/说明,というのも;と言うのも
G0284,できるだけ：尽量/尽可能,1,0,0,0,1,0,0,0,0,0,0,E04-0382-1,副词/程度,できるだけ;できるだけ早く;できるだけ多く
G0285,もしくは：或者/抑或,1,0,0,0,1,0,0,0,0,0,0,E04-0456-1,接续/选择,もしくは;または;あるいは
G0286,Vます形词干＋にくい：难以……,2,0,0,0,2,0,0,0,0,0,0,E04-0491-1,接尾/难易,言いにくい;食べにくい;分かりにくい
G0287,N離れした・N離れしている：超出……/不像一般……,2,0,0,0,1,0,0,0,1,0,0,E04-0499-1,接尾/评价,地球人離れした;人間離れした;現実離れした;現実離れしてる
G0288,Vてある：动作结果状态,5,0,0,0,3,0,2,0,0,0,0,E04-0562-1,补助动词/结果状态,書いてある;置いてある;貼ってある
G0289,VるだけVてみる：至少先试着……,2,0,0,0,2,0,0,0,0,0,0,E04-0581-1,限定/尝试,読むだけ読んでみる;見るだけ見てみる
G0290,ダメもとで：抱着不成也无妨,1,0,0,0,1,0,0,0,0,0,0,E04-0583-1,副词句/尝试,ダメもとで;ダメ元で;ダメでもともと
G0291,ただでさえ：本来就/原本就已经,1,0,0,0,1,0,0,0,0,0,0,E04-0590-1,副词句/强调,ただでさえ;ただでさえ〜のに
G0292,Vます形词干＋次第：一……就,1,0,0,0,1,0,0,0,0,0,0,E04-0621-1,接续/即时,分かり次第;決まり次第;到着次第
G0293,くせに：明明却/却还,2,0,0,0,1,0,0,0,0,1,0,E04-0644-1,逆接/责备,V普通形くせに;Nのくせに;イ形くせに;ナ形なくせに
G0294,ここぞとばかりに：趁机/抓住机会,1,0,0,0,1,0,0,0,0,0,0,E04-0654-1,惯用句/时机,ここぞとばかりに;ここぞという時
G0295,意地でも：无论如何也要/硬要,1,0,0,0,1,0,0,0,0,0,0,E04-0678-1,副词句/强意志,意地でも;意地でもVたい;意地でもVない
G0296,つまり：也就是说/换言之,1,0,0,0,1,0,0,0,0,0,0,E04-0707-1,接续/换言,つまり;つまりは;要するに
G0297,いよいよ：终于/眼看就要,3,0,0,0,3,0,0,0,0,0,0,E04-0147-1,副词/关键时刻,いよいよ;いよいよ明日;いよいよ本番
G0298,Vます形词干＋がち：容易/常常……,1,0,0,0,1,0,0,0,0,0,0,E04-0808-1,接尾/倾向,しがち;忘れがち;遅れがち;病気がち
G0299,なんとか・どうにか：设法/勉强/想办法,14,1,2,0,1,1,3,1,5,0,0,E01-0606-1,副词/请求,なんとか;なんとかする;なんとかなる;そこをなんとか;どうにかなる
G0300,とにかく：总之/无论如何先……,8,0,0,0,1,1,1,2,2,1,0,E04-0809-1,副词/优先,とにかく;とにかく落ち着く;とにかく確認する
G0301,もう少しで/もうちょっとで・Vるところだった：差一点就……,3,0,0,0,1,0,1,0,0,1,0,E04-0814-1,副词句/险些/形式名词,もう少しで;もうちょっとで;Vるところだった;Vるとこだった
G0302,に関して：关于/就……而言,3,0,0,0,1,1,0,0,1,0,0,E04-0920-1,对象/范围,Nに関して;Nに関するN;これに関して
G0303,中でも：其中尤其,1,0,0,0,1,0,0,0,0,0,0,E04-0930-1,副词句/突出,中でも;その中でも;中でも特に
G0304,わりと：比较/还算/相当,8,1,0,0,0,2,2,0,3,0,0,E01-0184-1,副词/程度,わりと;割と;わりと多い;わりと当たり前
G0305,徐々に：逐渐/慢慢地,3,1,0,0,0,1,0,0,1,0,0,E01-0593-1,副词/变化,徐々に;徐々に増える;徐々に減る
G0306,ある程度：某种程度上/一定程度,5,0,1,1,1,1,1,0,0,0,0,E02-0972-1,副词句/程度,ある程度;ある程度まで;ある程度分かる
G0307,それなりに：相应地/还算,3,0,0,0,1,2,0,0,0,0,0,E04-0265-1,副词句/程度,それなりに;それなりのN;それなりには
G0308,次々と・次から次へと：接连不断地,3,0,0,0,0,2,1,0,0,0,0,E05-0009-1,副词/连续,次々と;次々に;次から次へと;次々と起こる
G0309,一方：另一方面/与此同时,1,0,0,0,0,1,0,0,0,0,0,E05-0010-1,接续/对照,一方;一方で;その一方で
G0310,めっちゃ：非常/超级,19,0,0,0,0,7,4,3,5,0,0,E05-0069-1,副词/口语程度,めっちゃ;めちゃくちゃ;めっちゃ混んでる
G0311,N並み・並みに：和……一样/达到……程度,3,0,0,0,0,3,0,0,0,0,0,E05-0134-1,接尾/程度,N並み;N並みに;職人並み;プロ並み
G0312,しかも：而且/并且,21,1,0,1,0,9,4,2,2,1,1,E01-0391-1,接续副词,しかも;しかもね;しかも安いし
G0313,意外と：意外地/出乎意料地还挺,8,0,1,0,0,5,1,1,0,0,0,E02-0347-1,副词/程度,意外と;意外と深刻;意外と高い
G0314,群を抜いて：出类拔萃/遥遥领先,2,0,0,0,1,1,0,0,0,0,0,E04-0054-1,惯用句/评价,群を抜いている;群を抜いてます
G0315,Vる気になる/ならない：有/没有做……的心情,1,0,0,0,0,1,0,0,0,0,0,E05-0241-1,句型/心情,作る気になる;作る気にならない;Vる気になれない
G0316,にしては：按……来说/就……而言却,3,0,0,0,0,1,1,0,0,1,0,E05-0384-1,复合助词/评价,Nにしては;初めてにしては;値段にしては
G0317,恐らく：恐怕/大概,4,0,0,1,0,1,0,0,1,1,0,E03-0135-1,副词/推量,恐らく;おそらく
G0318,よっぽど：相当/非常/除非很……,3,1,0,0,0,1,0,0,1,0,0,E01-0367-1,副词/程度,よっぽど;よほど;よっぽどのN
G0319,どんどん：不断/越来越,3,0,1,0,0,1,0,1,0,0,0,E02-0284-1,副词/变化,どんどん;どんどん変わる;どんどん進む
G0320,もともと：原本/本来,10,1,0,0,0,1,2,2,2,2,0,E01-0509-1,副词/原本,もともと;もともとは;もともとある
G0321,お手数ですが：麻烦您/劳驾,1,0,0,0,0,1,0,0,0,0,0,E05-0528-1,敬语/请求前置,お手数ですが;お手数をおかけします
G0322,イマイチ：不太理想/差一点,1,0,0,0,0,1,0,0,0,0,0,E05-0580-1,口语副词/评价,イマイチ;いまいち
G0323,Vたと思ったら：刚一……就/以为……结果,2,0,0,0,0,1,0,1,0,0,0,E05-0604-1,时间/转折,Vたと思ったら;Vたと思うと
G0324,N扱い：被当作……对待,2,0,0,0,0,2,0,0,0,0,0,E05-0645-1,接尾/评价,変人扱い;子ども扱い;犯人扱い;腫れ物扱い
G0325,Nまみれ：满是/沾满,1,0,0,0,0,1,0,0,0,0,0,E05-0687-1,接尾/状态,クリームまみれ;泥まみれ;汗まみれ
G0326,かぎり：尽可能/在……范围内,5,0,0,0,0,1,0,1,0,3,0,E05-0716-1,范围/限定,可能なかぎり;できるかぎり;知るかぎり;見るかぎり
G0327,その上で：在此基础上/随后再,3,0,1,0,0,1,1,0,0,0,0,E02-0091-1,接续/顺序,その上で
G0328,分かったものではない：无法预料/说不准,1,0,0,0,0,1,0,0,0,0,0,E05-0803-1,惯用句/否定,分かったものではない;分かったもんじゃない
G0329,どうか：请/务必,4,0,0,0,0,2,1,0,0,1,0,E05-0902-1,副词/请求,どうか;どうぞ
G0330,かなり：相当/非常,8,1,0,1,0,1,3,0,0,2,0,E01-0882-1,副词/程度,かなり;かなり難しい;かなり手応えがある
G0331,聞く耳を持たない：不听/听不进去,2,0,0,0,0,1,0,0,0,1,0,E05-1003-1,惯用句/态度,聞く耳を持たない;聞く耳持たない
G0332,わざと：故意/特意,1,0,0,0,0,1,0,0,0,0,0,E05-1012-1,副词/意图,わざと;わざと大げさに
G0333,Nくくり：以……类别/归类为,1,0,0,0,0,1,0,0,0,0,0,E05-1058-1,名词/分类,Nくくり;職人たちみたいな くくり
G0334,まるまる：完整地/全部地,1,0,0,0,0,1,0,0,0,0,0,E05-1068-1,副词/整体,まるまる;まるまるカットされる
G0335,ものの：虽然……但是,1,0,0,0,0,0,1,0,0,0,0,E06-0043-1,接续/逆接,ものの;とはいうものの
G0336,Vるようにする：设法/习惯性地做……,4,0,0,0,0,0,3,0,1,0,0,E06-0047-1,习惯/方针,Vるようにする;Vないようにする;ようにしている
G0337,たびに：每当/每次,1,0,0,0,0,0,1,0,0,0,0,E06-0058-1,时间/反复,Vるたびに;Nのたびに;度に
G0338,一向に＋否定：完全不/丝毫不,1,0,0,0,0,0,1,0,0,0,0,E06-0067-1,副词句型/否定,一向にVない;一向に変わらない
G0339,もはや：已经/简直可以说,3,0,0,0,0,0,3,0,0,0,0,E06-0069-1,副词/判断,もはや;もはやNだ
G0340,やけに：异常地/格外,2,0,0,0,0,0,1,1,0,0,0,E06-0089-1,副词/程度,やけに;やけに静か;やけにNしている
G0341,Nに限る：最好/非……莫属,1,0,0,0,0,0,1,0,0,0,0,E06-0149-1,评价/选择,これに限る;Nに限る;夏はビールに限る
G0342,前もって：事先/提前,1,0,0,0,0,0,1,0,0,0,0,E06-0199-1,副词/准备,前もって;あらかじめ;事前に
G0343,べき：应该/理应,2,0,0,0,0,0,1,1,0,0,0,E06-0147-1,义务/判断,Vるべき;するべき;すべき;べきだ
G0344,しょっちゅう：经常/频繁,3,1,0,0,0,0,1,0,0,1,0,E01-0273-1,副词/频率,しょっちゅう;しょっちゅうV
G0345,いつの間にか：不知不觉间,1,0,0,0,0,0,1,0,0,0,0,E06-0682-1,副词/变化,いつの間にか;いつのまにか
G0346,Nといえば：说到/提起……,2,0,0,0,0,0,1,0,1,0,0,E06-0686-1,话题/联想,Nといえば;といえば;元はといえば
G0347,Nを含めて：包括……在内,2,0,0,0,0,0,2,0,0,0,0,E06-0664-1,范围/包含,Nを含めて;Nも含めて;N含めて
G0348,だとしたら：如果那样的话,2,0,0,0,0,0,1,1,0,0,0,E06-0750-1,条件/假设,だとしたら;そうだとしたら;もしそうなら
G0349,何かと：各方面/动不动就,3,0,0,0,1,0,2,0,0,0,0,E04-0369-1,副词/多方面,何かと;何かとお世話になる;何かと失言が多い
G0350,恐るべし：可怕/不可小觑,1,0,0,0,0,0,1,0,0,0,0,E06-0868-1,惯用句/评价,恐るべし;恐るべき;恐るべしN
G0351,数量詞手前：不到/将近……,1,0,0,0,0,0,1,0,0,0,0,E06-0891-1,数量/接尾,50手前;数量詞手前;40手前
G0352,どうしようもない・できない：无计可施/没办法,2,0,0,0,0,0,1,0,0,1,0,E06-0928-1,惯用句/不能,どうしようもない;どうしようもできない;どうしようもなく
G0353,むしろ：反而/倒不如说,4,1,0,0,0,0,1,0,0,2,0,E01-0039-2,副词/对照,むしろ;むしろNのほう;むしろ〜だ
G0354,だけでなく：不仅……而且,2,0,0,0,1,0,1,0,0,0,0,E04-0378-1,添加/并列,だけでなく;だけではなく;だけじゃなく;のみならず
G0355,さらに：更加/进一步/而且,3,0,0,1,0,0,1,1,0,0,0,E03-0128-1,副词/添加/程度,さらに;更に;さらに〜する;さらにNまで
G0356,なぜか：不知为何,1,0,0,0,0,0,1,0,0,0,0,E06-1038-1,副词/原因不明,なぜか;何故か;なぜだか
G0357,Vます形词干＋慣れる：习惯于做……,1,0,0,0,0,0,1,0,0,0,0,E06-1081-1,复合动词/习惯,見せ慣れる;使い慣れる;聞き慣れる;住み慣れる
G0358,くれぐれも：反复叮嘱/务必,1,0,0,0,0,0,1,0,0,0,0,E06-1090-1,副词/叮嘱,くれぐれも;くれぐれもよろしく;くれぐれもご注意ください
G0359,口をそろえて：异口同声地,2,0,0,0,0,1,0,1,0,0,0,E05-0625-1,惯用句/一致,口をそろえて;口を揃えて
G0360,Vる/だといい：希望……/要是……就好了,6,0,0,0,0,0,0,5,0,0,1,E07-0068-1,愿望/期待,Vるといい;N/ナ形だといい;Vたらいい;いるといい;あるといい
G0361,果たして：究竟/到底是否,1,0,0,0,0,0,0,1,0,0,0,E07-0107-1,副词/疑问,果たして;果たして〜か
G0362,それはそれで：那也另当别论/那也有那样的问题,3,0,0,1,0,0,0,2,0,0,0,E03-0315-1,话题/评价,それはそれで;これはこれで;それならそれで
G0363,比較的：比较/相对地,1,0,0,0,0,0,0,1,0,0,0,E07-0117-1,副词/程度,比較的;比較的〜だ
G0364,Nに間違いない：肯定是……/一定没错,8,2,1,0,0,0,1,2,0,2,0,E01-0524-1,断定/确信,Nに間違いない;間違いない;V普通形に間違いない
G0365,N抜きにして：撇开/不考虑……,1,0,0,0,0,0,0,1,0,0,0,E07-0173-1,除外/立场,N抜きにして;N抜きで;抜きにする
G0366,逆に：反过来/反而,9,0,2,1,1,0,1,2,0,1,1,E02-0238-1,副词/对照,逆に;逆にね;逆に聞くけど
G0367,ほぼ：几乎/大体,5,0,2,0,1,0,0,2,0,0,0,E02-0129-1,副词/程度,ほぼ;ほぼ同じ;ほぼ毎回;ほぼ人間
G0368,数量詞＋も＋否定：一点也不/连……也不,3,0,0,0,0,0,0,3,0,0,0,E07-0393-1,否定/强调,1ミリも〜ない;一度も〜ない;少しも〜ない
G0369,ぶっちゃけ：坦白说/说白了,1,0,0,0,0,0,0,1,0,0,0,E07-0410-1,口语副词/坦白,ぶっちゃけ;ぶっちゃけ言うと;ぶっちゃけた話
G0370,では/じゃ済まされない：不能以……了事,1,0,0,0,0,0,0,1,0,0,0,E07-0533-1,句型/否定/责任,では済まされない;じゃ済まされない;だけでは済まされない
G0371,どうしても：无论如何/非要,1,0,0,0,0,0,0,1,0,0,0,E07-0647-1,副词/强意志,どうしても;どうしても〜たい;どうしても〜てほしい;どうしても〜ない
G0372,Nくさい：有……味/像……/可疑,2,0,0,0,0,0,0,1,1,0,0,E07-0850-1,接尾/口语/评价,Nくさい;ウソくさい;素人くさい;面倒くさい
G0373,つくづく：深切地/真切地,1,0,0,0,0,0,0,1,0,0,0,E07-0895-1,副词/感慨,つくづく;つくづく思う;つくづく感じる
G0374,ましてや・なおさら：更何况/更加,2,0,0,0,0,0,0,1,1,0,0,E07-0998-1,接续副词/递进,ましてや;まして;なおさら;なおさらNだ;ましてやNでは
G0375,ですら：连……都,1,0,0,0,0,0,0,1,0,0,0,E07-1006-1,副助词/强调,Nですら;Nすら;私ですら;子どもですら
G0376,何かしら：某种/某些,2,0,0,0,0,0,0,1,0,1,0,E07-1018-1,不定表达/副词句,何かしら;何かしらのN;誰かしら;どこかしら
G0377,紛れもない：确凿无疑/不折不扣,1,0,0,0,0,0,0,1,0,0,0,E07-1048-1,连体表达/断定,紛れもないN;紛れもなく;紛れもない事実
G0378,すんなり：顺利地/轻松接受,2,0,0,0,0,0,0,0,2,0,0,E08-0019-1,副词/过程,すんなり;すんなり受け入れる;すんなり進む;すんなり通る
G0379,とっくに：早就/很久以前已经,1,0,0,0,0,0,0,0,1,0,0,E08-0045-1,副词/时间,とっくに;とっくの昔に;とっくに終わっている
G0380,口が裂けても言えない：绝对不能说出口,1,0,0,0,0,0,0,0,1,0,0,E08-0109-1,惯用句/保密/否定,口が裂けても言えない;口が裂けても言わない
G0381,ここだけの話：只在这里说/私下说,2,0,0,0,0,0,0,0,1,1,0,E08-0178-1,惯用句/保密/前置,ここだけの話;ここだけの話だけど;ここだけの話なんですが
G0382,Vて損する：白做/做了吃亏,1,0,0,0,0,0,0,0,1,0,0,E08-0205-1,句型/评价,Vて損する;聞いて損した;行って損した
G0383,Nを見込んで：预期/指望……而,1,0,0,0,0,0,0,0,1,0,0,E08-0255-1,预期/原因,Nを見込んで;需要を見込む;増加を見込む
G0384,とのこと：据说/报告称,1,0,0,0,0,0,0,0,1,0,0,E08-0259-1,传闻/报告,とのこと;とのことです;とのことだった
G0385,Nにさらされる：暴露于/面临,1,0,0,0,0,0,0,0,1,0,0,E08-0301-1,被动/状况,危機にさらされる;危険にさらされる;批判にさらされる
G0386,しかたなく：无奈地/不得已,4,0,0,0,0,0,0,0,4,0,0,E08-0335-1,副词/无奈,しかたなく;仕方なく;やむなく
G0387,Nに成り済ます：冒充/伪装成,1,0,0,0,0,0,0,0,1,0,0,E08-0344-1,复合动词/伪装,Nに成り済ます;Nに成り済まして;他人に成り済ます
G0388,Vて間もない：刚……不久,1,0,0,0,0,0,0,0,1,0,0,E08-0442-1,时间/阶段,Vて間もない;できて間もない;始まって間もない
G0389,兼ね備える：兼具/同时具备,1,0,0,0,0,0,0,0,1,0,0,E08-0499-1,复合动词/并列性质,兼ね備える;兼ね備えている;AもBも兼ね備える
G0390,いかにも：非常像/的确很,1,0,0,0,0,0,0,0,1,0,0,E08-0585-1,副词/评价,いかにも;いかにもNっぽい;いかにも〜そう
G0391,より一層：更加/进一步,1,0,0,0,0,0,0,0,1,0,0,E08-0592-1,副词/程度,より一層;よりいっそう;一層
G0392,N早々：刚一……就/……后不久,1,0,0,0,0,0,0,0,1,0,0,E08-0667-1,时间/接尾,入学早々;開始早々;到着早々
G0393,となると：如果/一到……就,3,0,0,0,0,0,0,0,3,0,0,E08-0659-1,条件/话题推进,Vるとなると;Nとなると;となれば
G0394,N/普通形＋分：相应地/正因为……那部分,1,0,0,0,0,0,0,0,1,0,0,E08-0797-1,程度/对应,長い分;多い分;その分
G0395,Nからして：单从……来看/就连……都,1,0,0,0,0,0,0,0,1,0,0,E08-0864-1,复合助词/判断,Nからして;話し方からして;名前からして;態度からして
G0396,N不足：……不足/缺乏,1,0,0,0,0,0,0,0,0,1,0,E09-0178-1,接尾/状态,人手不足;睡眠不足;準備不足;説明不足
G0397,Vていられない：不能一直/没法再……,1,0,0,0,0,0,0,0,0,1,0,E09-0506-1,可能否定/口语/状态,Vていられない;Vてられない;待っていられない;使ってられない
G0398,寝耳に水：晴天霹雳/突如其来,1,0,0,0,0,0,0,0,0,1,0,E09-0532-1,惯用句/意外,寝耳に水;まさに寝耳に水
G0399,Vないかぎり：除非……否则,1,0,0,0,0,0,0,0,0,1,0,E09-0569-1,条件/否定,Vないかぎり;Vない限り;Nでない限り
G0400,息のかかった：受某人影响/控制,1,0,0,0,0,0,0,0,0,1,0,E09-0611-1,惯用连体/影响,息のかかったN;息がかかっている;息がかかる
